libelle_zone,insee,libelle_de_base,libelle_de_dul,OAP,fonction,art_3,art_4,art_5,art_6_defaut,art_6_type,art_6_optionel,art_71,art_72,art_73,art_74,art_8,art_9,art_10_top,art_101,art_12,art_13,art_14
boussiere,25084,U,UAs,0,1,1,2,99,5,30,99,1,3,3,2,99,1,6,9,2,99,99
boussiere,25084,U,UAa,0,1,1,1,99,5,30,99,1,3,3,2,99,1,6,9,2,99,99
boussiere,25084,U,UB,0,0,1,1,99,5,30,99,1,3,3,2,99,0.4,6,6.5,2,99,99
boussiere,25084,U,UBs,0,0,1,2,99,5,30,99,1,3,3,2,99,0.4,6,6.5,2,99,99
boussiere,25084,U,UBi,0,0,1,1,99,5,30,99,1,3,3,2,99,0.4,6,6.5,2,99,99
boussiere,25084,U,UBis,0,0,1,2,99,5,30,99,1,3,3,2,99,0.4,6,6.5,2,99,99
boussiere,25084,U,UBai,0,0,1,1,99,5,30,99,1,3,3,2,99,0.4,6,6.5,2,99,99
boussiere,25084,AU,1AU,1,0,1,1,99,5,30,99,1,3,3,2,99,0.5,5,7.5,2,99,99
braillans,25086,U,U,0,0,0,2,99,6,99,99,0,5,5,99,5,0.25,2,9-a2.5,2,0.35,99
braillans,25086,AU,AU1,0,0,0,2,99,6,99,99,0,5,5,99,5,0.25,2,9-a2.5,2,0.35,99
braillans,25086,U,AU2,0,0,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
busy,25103,U,Ua,0,0,0,1,99,99,30,99,99,99,99,99,99,99,8,99,1,99,99
busy,25103,U,Ub,0,0,0,1,99,99,44,99,3,3,3,2,99,0.6,7,12-a3,2,99,99
busy,25103,AU,AU,1,1,0,1,99,99,44,6-RD478,1,3,3,2,99,0.6,7,12-a3,2,99,99
chalezeule,25112,U,UA,0,1,1,1,99,0,30,3,1,3,3,2,3,99,7,11,1x60,99,99
chalezeule,25112,U,UB,0,0,1,2,99,4,30,99,0,3,3,2,3,0.3,2,9,1x60,99,99
chalezeule,25112,U,UBa,0,0,1,2,99,3,30,99,0,3,3,2,99,99,7,99,1x60,99,99
chalezeule,25112,U,UBb,0,0,1,2,99,4,30,99,0,3,3,2,3,0.3,2,11,1x60,99,99
chalezeule,25112,AU,1AU1,1,0,1,2,99,4,99,99,0,3,3,2,3,0.3,2,11,1x60,99,99
chalezeule,25112,AU,1AU2,1,0,1,2,99,4,99,99,0,3,3,2,3,0.3,2,11,1x60,99,99
chalezeule,25112,AU,1AU3,0,0,1,2,99,6,99,99,0,3,3,2,3,0.3,2,9,1x60,99,99
chalezeule,25112,AU,AU1,2,0,1,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
chalezeule,25112,AU,AU2,2,0,1,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
chalezeule,25112,AU,AU3,2,0,1,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
chaucenne,25136,U,UA,0,1,1,1,99,0,10,4,0,4,4,2,99,99,8,4,2,99,99
chaucenne,25136,U,UB,0,0,1,1,99,4,99,99,0,4,4,2,99,99,8,4,2,99,99
chaucenne,25136,AU,1AU,1,0,1,1,99,4,1,15-RD8,0,4,4,2,99,99,1,4,2,99,99
chaudefontaine,25137,U,UA,0,1,1,0,99,99,1,100-A36,3,3,3,2,99,99,7,12,99,99,99
chaudefontaine,25137,U,UAi,0,1,1,0,99,99,1,100-A36,3,3,3,2,99,99,7,12,99,99,99
chaudefontaine,25137,U,UB,0,0,1,0,99,99,1,100-A36,3,3,3,2,99,0.2,2,9,99,99,99
chaudefontaine,25137,AU,AU1,0,0,1,0,99,4,1,100-A36,3,4,4,2,99,0.2,5,9,99,0.08,99
chemaudin,25147,U,Ua,0,1,1,1,99,2,30,99,1,3,3,2,3,99,6,6,2,99,99
chemaudin,25147,U,Ub,0,0,1,1,99,2,30,99,3,3,3,2,5,0.6,5,6,2,99,0.4
chemaudin,25147,U,Ube,0,0,1,1,99,2,30,99,3,3,3,2,5,0.6,5,6,2,99,0.4
chemaudin,25147,U,Ubg,0,0,1,2,99,2,30,99,3,3,3,2,5,0.6,5,6,2,99,0.3
chemaudin,25147,AU,AU1,1,0,1,1,99,4,1,12-RD11_12-RD216,3,4,4,2,5,99,5,6,2,99,0.4
chemaudin,25147,AU,AU1a,1,0,1,1,99,4,1,12-RD11_12-RD216,3,4,4,2,5,99,5,6,2,99,0.4
chemaudin,25147,AU,AU1e,1,0,1,1,99,4,1,12-RD11_12-RD216,3,4,4,2,5,99,5,6,2,99,0.4
chemaudin,25147,AU,AU2,2,0,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
chemaudin,25147,AU,AU2a,2,0,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
chemaudin,25147,AU,AU2ag,2,0,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
chemaudin,25147,AU,AU2e,2,0,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
deluz,25197,U,U,0,0,0,1,99,4,99,99,1,3,3,2,3,99,6,9,1m60_2,99,99
deluz,25197,U,Ua,0,0,0,1,99,99,99,99,3,3,3,2,3,99,3,6,1m60_2,0.2,99
deluz,25197,U,Ud,1,0,0,1,99,4,99,99,3,3,3,2,3,99,3,6,1m60_2,0.2,99
deluz,25197,U,Us,0,0,0,1,99,4,99,99,3,3,3,2,3,99,3,6,1m60_2,0.2,99
deluz,25197,U,Us1,0,0,0,1,99,4,99,99,3,3,3,2,3,99,3,6,1m60_2,0.2,99
deluz,25197,AU,1AU,0,0,0,1,99,3,99,99,3,3,3,2,3,99,3,6,1m60_2,0.15,99
deluz,25197,AU,1AUs,0,0,0,1,99,3,99,99,3,3,3,2,3,99,3,6,1m60_2,0.15,99
fontain,25245,U,UA,0,1,1,1,99,3,30,99,3,1.5,1.5,2,99,99,8,3,1,0.5>300,99
fontain,25245,U,UB,0,0,1,1,99,4,10,99,0,4,4,2,2,0.5,6,6,1,0.7>300,99
fontain,25245,AU,1AUa,1,0,1,1,99,0,10,5,0,4,4,2,2,99,2,6,1,99,99
fontain,25245,AU,1AUb,1,0,1,1,99,0,10,5,0,4,4,2,2,99,2,9,1,99,99
franois,25258,U,Ua,0,1,1,1,99,2,30,99,1,4,4,2,4,99,7,10,2.5,0.15,99
franois,25258,U,Ub,0,0,1,1,99,4,1,16-RD11,0,4,4,2,4,99,2,10,2.5,0.15,99
franois,25258,U,Ub1,1,0,1,1,99,4,1,16-RD11,0,4,4,2,4,0.2,2,10,2.5,0.15,99
franois,25258,U,Uba,0,0,1,2,99,4,1,16-RD11,0,4,4,2,4,99,2,10,2.5,0.15,99
franois,25258,U,Uh,0,0,1,2,99,4,99,99,0,4,4,2,99,99,2,6.5,2.5,0.15,99
franois,25258,AU,1AU,1,0,1,1,99,4,99,99,1,4,4,2,4,99,2,10,2.5,0.15,99
franois,25258,AU,2AUy,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
gennes,25267,U,UA,0,0,0,1,99,3,10,99,1,3,3,2,3,99,7,12,1,99,99
gennes,25267,U,UB,0,0,0,1,99,3,20,99,3,3,3,2,3,99,2,12,2,99,0.4
gennes,25267,AU,AU1,0,0,1,1,99,3,20,99,3,3,3,2,9,99,2,12,1m60_2,99,0.4
gennes,25267,AU,AU2,2,0,0,1,99,99,30,99,99,99,99,99,99,99,7,99,1,99,99
grandfontaine,25287,U,Ua,0,1,0,1,99,0,30,3,1,3,3,2,99,99,7,12-f4.5,99,99,99
grandfontaine,25287,U,Ub,0,0,0,1,99,4,99,99,0,3,3,2,99,99,7,9-a5,2,99,0.45+15s
grandfontaine,25287,AU,1AU1,,0,0,1,99,4,1,10-route de torpes_10-VC2,1,3,3,2,99,99,1,4-a5,2,0.08,0.45+15s
grandfontaine,25287,AU,1AU2,1,0,0,1,99,4,1,10-route de torpes_10-VC2,1,3,3,2,99,99,1,4-a5,2,0.08,0.45+15s
grandfontaine,25288,AU,2AU,2,0,0,1,99,4,1,10-route de torpes_10-VC2,1,4,4,2,99,99,2,9-a5,2,0.08,0.45+15s
le gratteris,25297,U,U,0,0,0,1,99,4,99,99,3,2,2,2,99,0.7,2,10,1m45_2,0.15,99
